"","flag","year","species","clutch"
"692",NA,2022,"herg","3"
"693",NA,2022,"herg","3"
"694",NA,2022,"herg","3"
"695",NA,2022,"herg","3"
"696",NA,2022,"herg","1"
"697",NA,2022,"herg","3"
"698",NA,2022,"herg","3"
"699",NA,2022,"herg","3"
"700",NA,2022,"herg","3"
"701",NA,2022,"herg","1"
"702",NA,2022,"herg","3"
"703",NA,2022,"herg",NA
"704",NA,2022,"herg","3"
"705",NA,2022,"herg","3"
"706",NA,2022,"herg","3"
"707",NA,2022,"herg","3"
"708",NA,2022,"herg","1"
"709",NA,2022,"herg","3"
"710",NA,2022,"herg","2"
"711",NA,2022,"herg","3"
"712",NA,2022,"herg","3"
"713",NA,2022,"herg","3"
"714",NA,2022,"herg","3"
"715",NA,2022,"herg","3"
"716",NA,2022,"herg","3"
"717",NA,2022,"herg","3"
"718",NA,2022,"herg","3"
"719",NA,2022,"herg","3"
"720",NA,2022,"herg","1"
"721",NA,2022,"herg","2"
"722",NA,2022,"herg","3"
"723",NA,2022,"herg","3"
"724",NA,2022,"herg","2"
"725",NA,2022,"herg","3"
"726",NA,2022,"herg","1"
"727",NA,2022,"herg","3"
"728",NA,2022,"herg","3"
"729",NA,2022,"herg","3"
"730",NA,2022,"herg","3"
"731",NA,2022,"herg","3"
"732",NA,2022,"herg","3"
"733",NA,2022,"herg","3"
"734",NA,2022,"herg","2"
"735",NA,2022,"herg","3"
"736",NA,2022,"herg","1"
"737",NA,2022,"herg","3"
"738",NA,2022,"herg","1"
"739",NA,2022,"herg","3"
"740",NA,2022,"herg","3"
"741",NA,2022,"herg","3"
"742",NA,2022,"herg","3"
"743",NA,2022,"herg","2"
"744",NA,2022,"herg","3"
"745",NA,2022,"herg","3"
"746",NA,2022,"herg","3"
"747",NA,2022,"herg","3"
"748",NA,2022,"herg","3"
"749",NA,2022,"herg","3"
"750",NA,2022,"herg","3"
"751",NA,2022,"herg","3"
"752",NA,2022,"herg","3"
"753",NA,2022,"herg","3"
"754",NA,2022,"herg","2"
"755",NA,2022,"herg","3"
"756",NA,2022,"herg","3"
"757",NA,2022,"herg","2"
"758",NA,2022,"herg","3"
"759",NA,2022,"herg","3"
"760",NA,2022,"herg","3"
"761",NA,2022,"herg","2"
"762",NA,2022,"herg","3"
"763",NA,2022,"herg","2"
"764",NA,2022,"herg","3"
"765",NA,2022,"herg","3"
"766",NA,2022,"herg","2"
"767",NA,2022,"herg","3"
"768",NA,2022,"herg","3"
"769",NA,2022,"herg","3"
"770",NA,2022,"herg","3"
"771",NA,2022,"herg","3"
"772",NA,2022,"herg","3"
"773",NA,2022,"herg","1"
"774",NA,2022,"herg","3"
"775",NA,2022,"herg","2"
"776",NA,2022,"herg","3"
"777",NA,2022,"herg","2"
"778",NA,2022,"herg","3"
"779",NA,2022,"herg","1"
"780",NA,2022,"herg","3"
"781",NA,2022,"herg","2"
"782",NA,2022,"herg","3"
"783",NA,2022,"herg","3"
"784",NA,2022,"herg","3"
"785",NA,2022,"herg","3"
"786",NA,2022,"herg","3"
"787",NA,2022,"herg","3"
"788",NA,2022,"herg","3"
"789",NA,2022,"herg","2"
"790",NA,2022,"herg","3"
"791",NA,2022,"herg","3"
"792",NA,2022,"herg","3"
"793",NA,2022,"herg","2"
"794",NA,2022,"herg","3"
"795",NA,2022,"herg","3"
"796",NA,2022,"herg","3"
"797",NA,2022,"herg","3"
"798",NA,2022,"herg","3"
"799",NA,2022,"herg","3"
"800",NA,2022,"herg","1"
"801",NA,2022,"herg","3"
"802",NA,2022,"herg","3"
"803",NA,2022,"herg","3"
"804",NA,2022,"herg","3"
"805",NA,2022,"herg","3"
"806",NA,2022,"herg","3"
"807",NA,2022,"herg","3"
"808",NA,2022,"herg","3"
"809",NA,2022,"herg","3"
"810",NA,2022,"herg","2"
"811",NA,2022,"herg","1"
"812",NA,2022,"herg","3"
"813",NA,2022,"herg","3"
"814",NA,2022,"herg","3"
"815",NA,2022,"herg","3"
"816",NA,2022,"herg","3"
"817",NA,2022,"herg","2"
"818",NA,2022,"herg","3"
"819",NA,2022,"herg","3"
"820",NA,2022,"herg","3"
"821",NA,2022,"herg","3"
"822",NA,2022,"herg","3"
"823",NA,2022,"herg","3"
"824",NA,2022,"herg","3"
"825",NA,2022,"herg","3"
"826",NA,2022,"herg","2"
"827",NA,2022,"herg","3"
"828",NA,2022,"herg","2"
"829",NA,2022,"herg","1"
"830",NA,2022,"herg","3"
"831",NA,2022,"herg","2"
"832",NA,2022,"herg","3"
"833",NA,2022,"herg","2"
"834",NA,2022,"herg","2"
"835",NA,2022,"herg","3"
"836",NA,2022,"herg","2"
"837",NA,2022,"herg","3"
"838",NA,2022,"herg","2"
"839",NA,2022,"herg","3"
"840",NA,2022,"herg","3"
"841",NA,2022,"herg","3"
"842",NA,2022,"herg","2"
"843",NA,2022,"herg","3"
"844",NA,2022,"herg","3"
"845",NA,2022,"herg","2"
"846",NA,2022,"herg","1"
"847",NA,2022,"herg","2"
"848",NA,2022,"herg","3"
"849",NA,2022,"herg","2"
"850",NA,2022,"herg","2"
"851",NA,2022,"herg","3"
"852",NA,2022,"herg","1"
"853",NA,2022,"herg","1"
"854",NA,2022,"herg","1"
"855",NA,2022,"herg","2"
"856",NA,2022,"herg","2"
"857",NA,2022,"herg","3"
"858",NA,2022,"herg","3"
"859",NA,2022,"herg","3"
"860",NA,2022,"herg","3"
"861",NA,2022,"herg","1"
"862",NA,2022,"herg","3"
"863",NA,2022,"herg","2"
"864",NA,2022,"herg","3"
"865",NA,2022,"herg","3"
"866",NA,2022,"herg","3"
"867",NA,2022,"herg","3"
"868",NA,2022,"herg","3"
"869",NA,2022,"herg","2"
"870",NA,2022,"herg","3"
"871",NA,2022,"herg","2"
"872",NA,2022,"herg","2"
"873",NA,2022,"herg","3"
"874",NA,2022,"herg","3"
"875",NA,2022,"herg","2"
"876",NA,2022,"herg","2"
"877",NA,2022,"herg","3"
"878",NA,2022,"herg","2"
"879",NA,2022,"herg","3"
"880",NA,2022,"herg","3"
"881",NA,2022,"herg","3"
"882",NA,2022,"herg","3"
"883",NA,2022,"herg","3"
"884",NA,2022,"herg","3"
"885",NA,2022,"herg","3"
"886",NA,2022,"herg","3"
"887",NA,2022,"herg","3"
"888",NA,2022,"herg","2"
"889",NA,2022,"herg","3"
"890",NA,2022,"herg","3"
"891",NA,2022,"herg","2"
"892",NA,2022,"herg","3"
"893",NA,2022,"herg","2"
"894",NA,2022,"herg","1"
"895",NA,2022,"herg","2"
"896",NA,2022,"herg","3"
"897",NA,2022,"herg","3"
"898",NA,2022,"herg","3"
"899",NA,2022,"herg","3"
"900",NA,2022,"herg","3"
"901",NA,2022,"herg","3"
"902",NA,2022,"herg","3"
"903",NA,2022,"herg","3"
"904",NA,2022,"herg","3"
"905",NA,2022,"herg","3"
"906",NA,2022,"herg","2"
"907",NA,2022,"herg","3"
"908",NA,2022,"herg","3"
"909",NA,2022,"herg","1"
"910",NA,2022,"herg","3"
"911",NA,2022,"herg","3"
