"","flag","clutch","comment","location","...5","...6","...7","year"
"331",803,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"332",593,1,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"333",117,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"334",476,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"335",121,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"336",91,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"337",154,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"338",844,1,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"339",151,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"340",575,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"341",802,4,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"342",290,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"343",129,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"344",227,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"345",163,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"346",231,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"347",403,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"348",450,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"349",482,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"350",286,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"351",589,1,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"352",409,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"353",430,1,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"354",183,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"355",347,3,NA,"PuffinPoint->Boardwalk",NA,NA,"GBBG","2021"
"356",167,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"357",180,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
