"","Flag","clutch","comment","location","year","species"
"368",433,3,NA,"East Side -> House","2022","herg"
"369",730,3,NA,"East Side -> House","2022","herg"
"370",147,2,NA,"East Side -> House","2022","herg"
"371",35,2,NA,"East Side -> House","2022","herg"
"372",674,3,NA,"East Side -> House","2022","herg"
"373",541,3,NA,"East Side -> House","2022","herg"
"374",295,3,NA,"East Side -> House","2022","herg"
"375",140,3,NA,"East Side -> House","2022","herg"
"376",519,3,NA,"East Side -> House","2022","herg"
"377",425,1,NA,"East Side -> House","2022","herg"
"378",497,2,NA,"East Side -> House","2022","herg"
"379",674,3,NA,"East Side -> House","2022","herg"
"380",504,3,NA,"East Side -> House","2022","herg"
"381",111,3,NA,"East Side -> House","2022","herg"
"382",354,3,NA,"East Side -> House","2022","herg"
"383",117,3,NA,"East Side -> House","2022","herg"
"384",746,3,NA,"East Side -> House","2022","herg"
"385",577,3,"2 chicks","Gen Shed -> Love Shack","2022","herg"
"386",436,3,NA,"Gen Shed -> Love Shack","2022","herg"
"387",93,3,NA,"Gen Shed -> Love Shack","2022","herg"
"388",393,2,NA,"Gen Shed -> Love Shack","2022","herg"
"389",257,3,NA,"Gen Shed -> Love Shack","2022","herg"
"390",141,3,NA,"Gen Shed -> Love Shack","2022","herg"
"391",570,2,NA,"Gen Shed -> Love Shack","2022","herg"
"392",723,2,NA,"Gen Shed -> Love Shack","2022","herg"
"393",325,3,NA,"Gen Shed -> Love Shack","2022","herg"
"394",87,3,NA,"Gen Shed -> Love Shack","2022","herg"
"395",410,3,NA,"Gen Shed -> Love Shack","2022","herg"
"396",286,3,NA,"Gen Shed -> Love Shack","2022","herg"
"397",356,3,NA,"Gen Shed -> Love Shack","2022","herg"
"398",25,3,NA,"Gen Shed -> Love Shack","2022","herg"
"399",461,3,NA,"Gen Shed -> Love Shack","2022","herg"
"400",664,3,NA,"Gen Shed -> Love Shack","2022","herg"
"401",426,3,NA,"Gen Shed -> Love Shack","2022","herg"
"402",750,3,NA,"Gen Shed -> Love Shack","2022","herg"
"403",523,3,NA,"Gen Shed -> Love Shack","2022","herg"
"404",606,3,NA,"Gen Shed -> Love Shack","2022","herg"
"405",123,3,NA,"Gen Shed -> Love Shack","2022","herg"
"406",95,3,NA,"Gen Shed -> Love Shack","2022","herg"
"407",212,3,NA,"Gen Shed -> Love Shack","2022","herg"
"408",479,3,NA,"Gen Shed -> Love Shack","2022","herg"
"409",365,3,NA,"Gen Shed -> Love Shack","2022","herg"
"410",293,2,NA,"Gen Shed -> Love Shack","2022","herg"
"411",769,3,NA,"Gen Shed -> Love Shack","2022","herg"
"412",129,2,NA,"Gen Shed -> Love Shack","2022","herg"
"413",503,2,NA,"Gen Shed -> Love Shack","2022","herg"
"414",661,3,NA,"Gen Shed -> Love Shack","2022","herg"
"415",236,2,NA,"Gen Shed -> Love Shack","2022","herg"
"416",571,3,NA,"Gen Shed -> Love Shack","2022","herg"
"417",427,3,NA,"Gen Shed -> Love Shack","2022","herg"
"418",57,2,NA,"Gen Shed -> Love Shack","2022","herg"
"419",554,3,NA,"Gen Shed -> Love Shack","2022","herg"
"420",227,3,NA,"Gen Shed -> Love Shack","2022","herg"
"421",332,1,NA,"Gen Shed -> Love Shack","2022","herg"
"422",743,3,NA,"Gen Shed -> Love Shack","2022","herg"
"423",464,3,NA,"Gen Shed -> Love Shack","2022","herg"
"424",749,3,NA,"Gen Shed -> Love Shack","2022","herg"
"425",207,3,NA,"Gen Shed -> Love Shack","2022","herg"
"426",463,3,NA,"Gen Shed -> Love Shack","2022","herg"
"427",666,2,NA,"Gen Shed -> Love Shack","2022","herg"
"428",10,3,NA,"Gen Shed -> Love Shack","2022","herg"
"429",272,3,"1 cold","Gen Shed -> Love Shack","2022","herg"
"430",512,1,NA,"Gen Shed -> Love Shack","2022","herg"
"431",90,3,"1 pip","Gen Shed -> Love Shack","2022","herg"
"432",740,2,NA,"Gen Shed -> Love Shack","2022","herg"
"433",489,3,"COEI","Gen Shed -> Love Shack","2022","coei"
"434",239,2,NA,"Gen Shed -> Love Shack","2022","herg"
"435",310,3,NA,"Gen Shed -> Love Shack","2022","herg"
"436",198,3,NA,"Gen Shed -> Love Shack","2022","herg"
"437",594,3,NA,"Gen Shed -> Love Shack","2022","herg"
"438",658,3,NA,"Gen Shed -> Love Shack","2022","herg"
