flag,year,species,clutch
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,1
NA,2022,herg,1
NA,2022,herg,2
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,1
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,2
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,1
NA,2022,herg,2
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,2
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
596,2021,herg,3
584,2021,herg,2
526,2021,herg,3
599,2021,herg,3
446,2021,herg,2
197,2021,herg,2
27,2021,herg,3
845,2021,herg,3
265,2021,herg,2
501,2021,herg,2
54,2021,herg,3
187,2021,herg,3
582,2021,herg,3
259,2021,herg,3
838,2021,herg,3
442,2021,herg,1
186,2021,herg,1
322,2021,herg,1
571,2021,herg,3
78,2021,herg,3
542,2021,herg,1
842,2021,herg,3
586,2021,herg,3
316,2021,herg,3
255,2021,herg,3
843,2021,herg,2
149,2021,herg,2
26,2021,herg,3
520,2021,herg,3
443,2021,herg,2
319,2021,herg,2
147,2021,herg,3
266,2021,herg,3
846,2021,herg,3
506,2021,herg,1
223,2021,herg,3
74,2021,herg,3
515,2021,herg,3
854,2021,herg,2
51,2021,herg,3
198,2021,herg,3
457,2021,herg,3
510,2021,herg,3
61,2021,herg,2
148,2021,herg,3
503,2021,herg,1
260,2021,herg,3
848,2021,herg,3
67,2021,herg,3
325,2021,herg,3
144,2021,herg,3
505,2021,herg,3
390,2021,herg,3
498,2021,herg,3
509,2021,herg,3
125,2021,herg,3
481,2021,herg,3
525,2021,herg,3
386,2021,herg,3
64,2021,herg,2
169,2021,herg,3
499,2021,herg,3
865,2021,herg,2
407,2021,herg,3
256,2021,herg,2
524,2021,herg,1
150,2021,herg,3
264,2021,herg,3
93,2021,herg,1
863,2021,herg,3
245,2021,herg,3
378,2021,herg,2
327,2021,herg,3
287,2021,herg,1
307,2021,herg,2
173,2021,herg,3
283,2021,herg,3
406,2021,herg,2
508,2021,herg,3
206,2021,herg,3
332,2021,herg,3
89,2021,herg,3
242,2021,herg,3
523,2021,herg,1
66,2021,herg,3
204,2021,herg,3
867,2021,herg,3
63,2021,herg,2
518,2021,herg,2
216,2021,herg,3
511,2021,herg,1
42,2021,herg,3
331,2021,herg,2
469,2021,herg,3
205,2021,herg,3
43,2021,herg,3
864,2021,herg,3
284,2021,herg,3
513,2021,herg,3
839,2021,herg,3
580,2021,herg,2
338,2021,herg,3
142,2021,herg,3
377,2021,herg,3
519,2021,herg,3
401,2021,herg,3
334,2021,herg,2
106,2021,herg,3
267,2021,herg,3
507,2021,herg,1
375,2021,herg,2
521,2021,herg,3
373,2021,herg,3
58,2021,herg,3
394,2021,herg,3
380,2021,herg,3
486,2021,herg,3
512,2021,herg,2
195,2021,herg,2
329,2021,herg,2
456,2021,herg,2
398,2021,herg,1
311,2021,herg,2
179,2021,herg,2
270,2021,herg,1
483,2021,herg,2
309,2021,herg,3
175,2021,herg,3
59,2021,herg,2
504,2021,herg,3
445,2021,herg,3
431,2021,gbbg,3
68,2021,herg,3
221,2021,herg,1
393,2021,herg,3
165,2021,herg,3
220,2021,herg,4
517,2021,herg,3
485,2021,herg,3
383,2021,herg,3
488,2021,herg,1
516,2021,herg,3
449,2021,herg,3
84,2021,herg,3
